state,x,y
Andhra Pradesh, -76.0, -198.0
Arunachal Pradesh, 277.0, 131.0
Assam, 232.0, 83.0
Bihar, 86.0, 68.0
Chhattisgarh, 0.0, -37.0
Goa, -190.0, -193.0
Gujarat, -251.0, -21.0
Haryana, -136.0, 162.0
Himachal Pradesh, -117.0, 224.0
Jharkhand, 54.0, 12.0
Karnataka, -157.0, -220.0
Kerala, -130.0, -327.0
Madhya Pradesh, -123.0, 10.0
Maharashtra, -162.0, -68.0
Manipur, 268.0, 35.0
Meghalaya, 183.0, 54.0
Mizoram, 237.0, -4.0
Nagaland, 272.0, 69.0
Odisha, 33.0, -56.0
Punjab, -169.0, 198.0
Rajasthan, -243.0, 99.0
Sikkim, 141.0, 110.0
Tamil Nadu, -97.0, -300.0
Telangana, -91.0, -122.0
Tripura, 211.0, 14.0
Uttar Pradesh, -35.0, 99.0
Uttarakhand, -63.0, 181.0
West Bengal, 128.0, -0.0
Andaman and Nicobar Islands, 240.0, -248.0
Chandigarh, -127.0, 188.0
Dadra and Nagar Haveli and Daman and Diu, -214.0, -77.0
Delhi, -121.0, 133.0
Jammu and Kashmir, -163.0, 284.0
Ladakh, -97.0, 309.0
Lakshadweep, -230.0, -295.0
Puducherry, -61.0, -275.0
